id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8591346;;ch:1:sloid:91346;Zürich, Schumacherweg;;;;;;8.514788;47.412094;0;EPSG:4326;2681218;1251810;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904150;324
8591347;;ch:1:sloid:91347;Zürich, Schürgistrasse;;;;;;8.579597;47.408837;0;EPSG:4326;2686114;1251517;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904155;325
8591348;;ch:1:sloid:91348;Zürich, Schützenhaus Höngg;;;;;;8.497051;47.409730;0;EPSG:4326;2679883;1251529;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904159;326
8591349;;ch:1:sloid:91349;Zürich, Schwamendingerplatz;;;;;;8.571899;47.404593;0;EPSG:4326;2685540;1251037;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904163;327
8591350;;ch:1:sloid:91350;Zürich, Schwandenholz;;;;;;8.520686;47.423858;0;EPSG:4326;2681645;1253124;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904168;328
8591352;;ch:1:sloid:91352;Zürich, Schweizer Rück;;;;;;8.535511;47.359880;0;EPSG:4326;2682863;1246027;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904177;329
8591353;;ch:1:sloid:91353;Zürich, Schwert;;;;;;8.504616;47.399730;0;EPSG:4326;2680469;1250425;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904181;330
8591354;;ch:1:sloid:91354;Zürich, Seebach;;;;;8503007,8591127,8591354,8591355;8.549777;47.421864;0;EPSG:4326;2683843;1252933;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904185;331
8591355;;ch:1:sloid:91355;Zürich, Seebacherplatz;;;;;8503007,8591127,8591354,8591355;8.548370;47.419863;0;EPSG:4326;2683740;1252709;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904191;331
8591357;;ch:1:sloid:91357;Zürich, Seerose;;;;;;8.538137;47.338915;0;EPSG:4326;2683094;1243699;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904196;332
8591358;;ch:1:sloid:91358;Zürich, Segantinistrasse;;;;;;8.489970;47.407447;0;EPSG:4326;2679352;1251268;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904200;333
8591360;;ch:1:sloid:91360;Zürich, Segeten;;;;;;8.594304;47.355752;0;EPSG:4326;2687311;1245632;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904204;334
